source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,304,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchBbsQnaHelp,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,317,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,insert,registBbsQnaMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,369,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,update,modifyBbsQnaMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,404,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,selectBbsOwner,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,413,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,selectQnaOwnerInfo,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,429,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,update,updateAtchFileCnt,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,443,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,update,updateQnaProcessStatus,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,452,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchInqryMain,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,480,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchMyQnaList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsUtztnTrmsAgreMapper.xml,9,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsAgreMapper,insert,insertUtztnTrmsAgre,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsUtztnTrmsAgreMapper.xml,35,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsAgreMapper,select,selectUtztnTrmsAgreYn,NOT_VERIFIED
